Start Date,Overs,Mdns,Runs,Wkts
10-Oct-03,86.3,9,307,14
12-Oct-03,95.2,2,375,12
23-Oct-03,26.5,0,141,3
26-Oct-03,100,1,517,13
29-Oct-03,50.2,6,181,12
01-Nov-03,96.2,3,487,17
03-Nov-03,99.5,10,511,17
06-Nov-03,97.3,3,482,14
07-Nov-03,70.1,13,264,12
09-Nov-03,95.3,2,387,15
10-Nov-03,77.4,15,259,11
12-Nov-03,88.4,8,362,11
12-Nov-03,100,2,612,8
15-Nov-03,97,3,544,14
18-Nov-03,60,7,177,10
18-Nov-03,91.5,7,413,15
22-Nov-03,84.5,2,514,7
23-Nov-03,72.1,11,247,12
26-Nov-03,97.2,7,425,15
29-Nov-03,98,1,571,11
29-Nov-03,77,4,397,10
30-Nov-03,73.3,6,380,11
01-Dec-03,88.5,7,423,14
03-Dec-03,100,4,566,13
05-Dec-03,89.1,5,359,10
07-Dec-03,100,4,485,6
03-Jan-04,99.1,11,435,11
07-Jan-04,97,5,461,12
09-Jan-04,97.3,4,539,18
10-Jan-04,96.2,2,499,9
11-Jan-04,87.3,8,340,18
14-Jan-04,87.4,7,411,8
14-Jan-04,59.2,10,230,12
16-Jan-04,100,2,523,11
17-Jan-04,99.3,4,597,13
18-Jan-04,99.4,0,577,13
20-Jan-04,97.1,6,472,13
22-Jan-04,83.5,2,513,11
24-Jan-04,100,2,538,12
25-Jan-04,73.2,11,311,12
26-Jan-04,100,3,523,13
28-Jan-04,92.4,9,327,14
29-Jan-04,50,2,256,6
30-Jan-04,45,7,153,9
01-Feb-04,81,5,397,13
01-Feb-04,95,0,585,7
03-Feb-04,65.1,5,256,14
04-Feb-04,99.4,4,606,8
06-Feb-04,89.1,1,432,11
08-Feb-04,83.2,6,497,13
13-Feb-04,99.4,5,441,11
17-Feb-04,95.1,4,497,13
20-Feb-04,76,3,489,8
20-Feb-04,93.3,6,432,13
22-Feb-04,99.5,1,464,12
25-Feb-04,99,7,515,11
25-Feb-04,98.3,5,440,9
27-Feb-04,91.2,4,421,18
29-Feb-04,62,4,360,12
29-Feb-04,97.5,10,388,13
02-Mar-04,96,6,366,12
10-Mar-04,100,6,459,13
12-Mar-04,99.2,2,456,17
13-Mar-04,100,1,675,15
14-Mar-04,91.2,6,362,15
16-Mar-04,98.4,3,616,14
19-Mar-04,97.2,2,474,14
21-Mar-04,95,3,559,14
24-Mar-04,97.5,5,533,16
18-Apr-04,59.3,3,301,12
20-Apr-04,77,11,345,10
22-Apr-04,57.3,7,272,10
24-Apr-04,16,1,51,2
25-Apr-04,27.2,7,72,10
27-Apr-04,93.4,7,371,14
29-Apr-04,100,9,455,15
01-May-04,98,2,557,12
02-May-04,97.1,0,553,12
05-May-04,97.2,2,512,10
15-May-04,96.4,13,279,15
16-May-04,50,3,218,15
19-May-04,49.1,1,229,9
25-May-04,89.4,10,401,10
27-May-04,94.3,6,487,16
29-May-04,79.3,5,386,11
26-Jun-04,34.4,3,204,6
27-Jun-04,70.4,9,282,13
29-Jun-04,50.1,4,193,13
01-Jul-04,62.1,6,307,11
03-Jul-04,92.2,3,426,13
04-Jul-04,97.2,8,470,9
06-Jul-04,99.1,8,558,9
10-Jul-04,90.4,5,415,16
16-Jul-04,95.2,17,319,16
16-Jul-04,85,7,385,15
17-Jul-04,95.2,4,424,14
17-Jul-04,97.5,12,341,19
18-Jul-04,94.1,9,501,14
18-Jul-04,100,4,534,9
21-Jul-04,87.4,5,338,11
21-Jul-04,71.5,11,234,10
23-Jul-04,83.3,6,363,6
25-Jul-04,100,3,520,16
27-Jul-04,100,1,518,14
29-Jul-04,86.2,10,327,14
01-Aug-04,100,5,393,15
20-Aug-04,99,3,509,14
21-Aug-04,60,2,316,14
22-Aug-04,98.5,3,383,17
23-Aug-04,31.4,0,170,7
25-Aug-04,97.4,6,372,16
28-Aug-04,96.1,3,464,8
28-Aug-04,97.1,6,353,14
31-Aug-04,98.1,2,552,16
01-Sep-04,76.1,3,334,12
03-Sep-04,96.3,5,527,14
04-Sep-04,98.2,4,515,14
05-Sep-04,97.5,3,369,18
10-Sep-04,89,8,438,16
10-Sep-04,92.4,8,471,14
11-Sep-04,100,8,454,10
12-Sep-04,49.2,5,175,11
13-Sep-04,31.5,3,128,10
14-Sep-04,93,5,374,16
14-Sep-04,50.4,7,183,12
15-Sep-04,89.3,8,392,12
16-Sep-04,87.2,7,392,11
17-Sep-04,74,5,339,9
18-Sep-04,98.5,6,481,11
19-Sep-04,99.1,7,384,17
21-Sep-04,96.3,2,509,12
22-Sep-04,66.3,5,247,11
25-Sep-04,98.3,7,416,15
30-Sep-04,88.3,7,434,17
03-Oct-04,98.1,7,505,9
06-Oct-04,98.4,1,444,10
09-Oct-04,51.1,6,210,13
14-Oct-04,98.5,4,574,9
16-Oct-04,88,5,450,16
02-Nov-04,81.1,11,305,19
05-Nov-04,88.2,12,289,17
07-Nov-04,100,5,410,13
13-Nov-04,99,4,570,9
28-Nov-04,97.1,4,381,12
01-Dec-04,86,10,358,16
04-Dec-04,93.1,2,473,7
05-Dec-04,99.4,2,480,14
05-Dec-04,98.4,9,446,15
08-Dec-04,97.1,3,498,14
23-Dec-04,100,4,471,14
26-Dec-04,75,10,278,10
26-Dec-04,97.5,8,435,15
27-Dec-04,100,5,593,13
10-Jan-05,89.5,1,571,16
